ID,LTO ID,Source,Maximum Sea Level Static Thrust (lbf)
A124,3GE078,EEDB,
A20N A320neo CFM engines,01P20CM128,EEDB,
A21N A321neo,01P20CM132,EEDB,
A306,1PW048,EEDB,
A318,7CM049,EEDB,
A319,3IA006,EEDB,
A320 CFM engines,1CM008,EEDB,
A321,1IA005,EEDB,
A332 GE or PW engines,5GE085,EEDB,
A333 GE or PW engines,5GE085,EEDB,
A343,1CM010,EEDB,
A346,8RR045,EEDB,
A359,01P18RR124,EEDB,
B38M,01P20CM136,EEDB,
B733 CFM56-3B1 engines,1CM004,EEDB,
B733 CFM56-3B2 or -3C1 engines,1CM007,EEDB,
B734,1CM007,EEDB,
B735,1CM004,EEDB,
B736,01P11CM112,EEDB,
B737,3CM034,EEDB,
B738,3CM034,EEDB,
B739,3CM034,EEDB,
B744,1PW041,EEDB,
B748,13GE157,EEDB,
B752 PW engines,4PW072,EEDB,
B753,4PW073,EEDB,
B762 GE engines,1GE010,EEDB,
B763,1GE010,EEDB,
B772,2PW061,EEDB,
B77L,01P21GE216,EEDB,
B77W,01P21GE217,EEDB,
B789,01P17GE210,EEDB,
BE40,1PW037,EEDB,
C550 JT15D engines,1PW036,EEDB,
C551,1PW036,EEDB,
C650,1AS002,EEDB,
C680,7PW078,EEDB,
C750,4AL003,EEDB,
CL30,11HN003,EEDB,
CL60,1GE034,EEDB,
CRJ2,01P05GE189,EEDB,
CRJ9,01P08GE190,EEDB,
CRJX,01P08GE191,EEDB,
E190,11GE142,EEDB,
E195,11GE142,EEDB,
E75S,01P08GE198,EEDB,
F2TH PW engines,01P07PW146,EEDB,
F900,1AS002,EEDB,
FA50,1AS002,EEDB,
FA7X,03P16PW192,EEDB,
G150,1AS002,EEDB,
G280,01P11HN012,EEDB,
GALX,7PW077,EEDB,
GL5T,01P04BR013,EEDB,
GLEX,01P04BR013,EEDB,
GLF2 Gulfstream II,1RR016,EEDB,
GLF4,1RR019,EEDB,
GLF5,4BR008,EEDB,
GLF6,01P11BR016,EEDB,
H25B,1AS002,EEDB,
LJ31,1AS001,EEDB,
LJ35,1AS001,EEDB,
LJ45,1AS001,EEDB,
LJ55,1AS002,EEDB,
LJ60,7PW077,EEDB,
PRM1,1PW035,EEDB,
